#1:iter	2:compliance	3:duration	4:volume	5:physical_volume	6:physical_greyness	7:nObj
0 	0.00519115 	0.512 	0.5 	0.125 	0.4375 	1
1 	0.00519374 	0.075 	0.499914 	0.124936 	0.437307 	2
2 	0.0718255 	0.07 	0.199938 	0.00799525 	0.031725 	3
3 	0.0465673 	0.087 	0.199939 	0.00811672 	0.0321873 	4
4 	0.0319522 	0.08 	0.199938 	0.00844003 	0.0334023 	5
5 	0.0199639 	0.073 	0.199936 	0.00932235 	0.036643 	6
6 	0.0128256 	0.076 	0.199932 	0.0109538 	0.0424031 	7
7 	0.0081356 	0.094 	0.199931 	0.0139942 	0.052429 	8
8 	0.00520561 	0.092 	0.199933 	0.0192066 	0.0676022 	9
9 	0.00334144 	0.079 	0.199942 	0.0280404 	0.0876015 	10
10 	0.00224363 	0.074 	0.199955 	0.0410448 	0.103974 	11
11 	0.00200285 	0.068 	0.199959 	0.0459602 	0.106566 	12
12 	0.00184011 	0.068 	0.199962 	0.0499983 	0.107793 	13
13 	0.00160034 	0.066 	0.199971 	0.0573849 	0.10906 	14
14 	0.00144806 	0.075 	0.199932 	0.063367 	0.108933 	15
15 	0.00134606 	0.062 	0.199937 	0.0680923 	0.109173 	16
16 	0.00147242 	0.071 	0.199948 	0.0627656 	0.113487 	17
17 	0.00148914 	0.101 	0.199947 	0.0621074 	0.114238 	19
18 	0.00156869 	0.066 	0.199941 	0.0578462 	0.120612 	20
19 	0.00130498 	0.062 	0.199947 	0.0714671 	0.113479 	21
20 	0.00129487 	0.076 	0.199946 	0.0703751 	0.118983 	22
21 	0.00115639 	0.073 	0.19995 	0.0794807 	0.111294 	23
22 	0.00100432 	0.068 	0.199954 	0.092814 	0.0933076 	24
23 	0.000913646 	0.085 	0.199956 	0.10342 	0.0685489 	25
24 	0.000854133 	0.074 	0.199959 	0.111717 	0.045036 	26
25 	0.000822135 	0.071 	0.199962 	0.116773 	0.0311934 	27
26 	0.000813094 	0.081 	0.199962 	0.118347 	0.0282968 	28
27 	0.000811769 	0.065 	0.199962 	0.119105 	0.0303384 	29
28 	0.000805907 	0.064 	0.199963 	0.120377 	0.0319542 	30
29 	0.000795183 	0.078 	0.199964 	0.122738 	0.026964 	31
30 	0.000788125 	0.07 	0.199965 	0.124125 	0.0238738 	32
31 	0.0007886 	0.079 	0.199965 	0.124006 	0.0248639 	33
32 	0.00078682 	0.065 	0.199965 	0.124245 	0.0233374 	34
33 	0.000779531 	0.064 	0.199965 	0.125779 	0.0182889 	35
34 	0.000771755 	0.072 	0.199965 	0.127728 	0.0136917 	36
35 	0.000776296 	0.065 	0.199963 	0.126566 	0.015414 	37
36 	0.000779979 	0.085 	0.199963 	0.125469 	0.0175576 	38
37 	0.000790762 	0.069 	0.199962 	0.123037 	0.0255038 	39
38 	0.000796725 	0.062 	0.199962 	0.121802 	0.0298301 	40
39 	0.00079727 	0.156 	0.199962 	0.12173 	0.0299663 	46
40 	0.000797224 	0.079 	0.199962 	0.121714 	0.0303729 	47
41 	0.000772708 	0.079 	0.199964 	0.127122 	0.0121509 	48
42 	0.000769364 	0.068 	0.199964 	0.127968 	0.0104927 	49
43 	0.000768821 	0.078 	0.199966 	0.129046 	0.01445 	50
44 	0.000768182 	0.092 	0.199966 	0.129405 	0.0143958 	51
45 	0.000766 	0.071 	0.199967 	0.130229 	0.0136083 	52
46 	0.000765985 	0.075 	0.199968 	0.130232 	0.0135983 	53
47 	0.000763979 	0.07 	0.2 	0.130618 	0.0120679 	54
48 	0.000762028 	0.078 	0.2 	0.131148 	0.0100305 	55
49 	0.000761521 	0.078 	0.2 	0.13134 	0.00971021 	56
50 	0.000758986 	0.076 	0.199999 	0.13336 	0.0116542 	57
51 	0.000758519 	0.078 	0.199994 	0.133756 	0.0123442 	58
52 	0.000758294 	0.067 	0.199985 	0.134539 	0.0143542 	59
53 	0.000757877 	0.066 	0.199983 	0.135341 	0.0153205 	60
54 	0.000757898 	0.07 	0.199975 	0.135618 	0.0167663 	61
55 	0.000756717 	0.07 	0.199975 	0.137018 	0.0193187 	62
56 	0.000758069 	0.077 	0.199971 	0.136366 	0.0197907 	63
57 	0.000757512 	0.078 	0.199971 	0.137082 	0.0201429 	64
58 	0.000757577 	0.096 	0.199857 	0.136902 	0.0201117 	66
59 	0.000757572 	0.177 	0.199928 	0.136907 	0.0201153 	70
60 	0.00075734 	0.066 	0.2 	0.136713 	0.0194423 	71
61 	0.000756502 	0.079 	0.199971 	0.136296 	0.0173489 	72
62 	0.000756488 	0.068 	0.199971 	0.136298 	0.017339 	73
63 	0.000754405 	0.063 	0.2 	0.136721 	0.0156471 	74
64 	0.000754051 	0.076 	0.2 	0.136929 	0.0148977 	75
65 	0.000753921 	0.086 	0.2 	0.137079 	0.0146129 	76
66 	0.00075376 	0.07 	0.2 	0.137357 	0.0147718 	77
67 	0.000753547 	0.077 	0.2 	0.137731 	0.0150627 	78
68 	0.000752917 	0.068 	0.199978 	0.139079 	0.0159729 	79
69 	0.000753101 	0.088 	0.199974 	0.139911 	0.0162304 	80
70 	0.000754069 	0.096 	0.199972 	0.14031 	0.0182398 	81
71 	0.000753988 	0.197 	0.199972 	0.140475 	0.0182278 	85
72 	0.000753817 	0.07 	0.199972 	0.140493 	0.0179147 	86
73 	0.000753586 	0.074 	0.199972 	0.140628 	0.0177252 	87
74 	0.000753471 	0.063 	0.199972 	0.140694 	0.01777 	88
75 	0.00075343 	0.083 	0.199972 	0.140615 	0.0177208 	89
76 	0.000753386 	0.079 	0.199972 	0.140468 	0.0171214 	90
77 	0.000753174 	0.084 	0.199972 	0.140877 	0.0172361 	91
78 	0.000752887 	0.071 	0.199972 	0.141466 	0.0174924 	92
79 	0.000752645 	0.066 	0.199972 	0.141865 	0.0174571 	93
80 	0.000752309 	0.072 	0.199973 	0.142358 	0.0175555 	94
81 	0.000751926 	0.08 	0.199973 	0.14323 	0.0174993 	95
82 	0.000751526 	0.064 	0.199974 	0.144182 	0.0170955 	96
83 	0.000751256 	0.072 	0.199974 	0.14473 	0.0168304 	97
84 	0.000750705 	0.084 	0.199974 	0.145857 	0.0161285 	98
85 	0.000750403 	0.083 	0.199975 	0.146679 	0.0157111 	99
86 	0.000749787 	0.069 	0.199976 	0.147636 	0.0144897 	100
87 	0.000750189 	0.089 	0.199975 	0.146956 	0.015766 	101
88 	0.000750072 	0.09 	0.199975 	0.147195 	0.0160781 	102
89 	0.000750086 	0.075 	0.199895 	0.147061 	0.0161106 	103
90 	0.000750085 	0.175 	0.199948 	0.147065 	0.0161135 	107
91 	0.000750059 	0.091 	0.199974 	0.147109 	0.016195 	109
92 	0.000749972 	0.071 	0.199975 	0.146732 	0.0164957 	110
93 	0.000749978 	0.068 	0.19996 	0.146702 	0.0165406 	111
94 	0.00074983 	0.072 	0.199982 	0.147417 	0.01686 	112
95 	0.000749752 	0.077 	0.199981 	0.147748 	0.016971 	113
96 	0.000749182 	0.078 	0.19998 	0.149663 	0.0164923 	114
97 	0.000749054 	0.075 	0.199979 	0.150107 	0.0169231 	115
98 	0.00074904 	0.066 	0.19998 	0.150109 	0.0169135 	116
