#1:iter	2:compliance	3:duration	4:volume	5:physical_volume	6:physical_greyness	7:nObj
0 	1221.63 	0.532 	0.5 	0.125 	0.4375 	1
1 	1101.73 	0.091 	0.502695 	0.127226 	0.443472 	2
2 	1101.73 	0.072 	0.50269 	0.127223 	0.443463 	3
3 	1076.77 	0.082 	0.478018 	0.110615 	0.390332 	4
4 	1123.4 	0.075 	0.416335 	0.0781758 	0.276522 	5
5 	1602.05 	0.074 	0.330751 	0.0408262 	0.148413 	6
6 	2462.45 	0.087 	0.217152 	0.0230408 	0.0681264 	7
7 	2454.32 	0.078 	0.199977 	0.0230164 	0.066878 	8
8 	2250.15 	0.088 	0.199974 	0.0245215 	0.0713201 	9
9 	2067.89 	0.078 	0.199974 	0.0292996 	0.0764857 	10
10 	1972.94 	0.08 	0.199976 	0.0311474 	0.0768031 	11
11 	1796.39 	0.072 	0.199981 	0.0368357 	0.0844099 	12
12 	1691.08 	0.072 	0.199983 	0.0413851 	0.0927942 	13
13 	1591.51 	0.073 	0.199983 	0.0451789 	0.100499 	14
14 	1466.23 	0.078 	0.199984 	0.0508831 	0.110603 	15
15 	1417.81 	0.088 	0.199983 	0.0524477 	0.113149 	16
16 	1628.8 	0.082 	0.199971 	0.0398679 	0.0943641 	17
17 	1478.19 	0.081 	0.199973 	0.0466791 	0.103514 	18
18 	1444.45 	0.08 	0.199972 	0.0483906 	0.10603 	19
19 	1315.16 	0.076 	0.199979 	0.0599713 	0.113394 	20
20 	1250.22 	0.095 	0.199982 	0.0666678 	0.120448 	21
21 	1191.63 	0.067 	0.199985 	0.0742191 	0.129182 	22
22 	1155.05 	0.078 	0.199986 	0.0808525 	0.136984 	23
23 	1145.23 	0.089 	0.199987 	0.0819228 	0.137833 	24
24 	1137.89 	0.084 	0.199986 	0.0823239 	0.137525 	25
25 	1132.13 	0.112 	0.199985 	0.0826955 	0.137494 	26
26 	1122.18 	0.08 	0.199985 	0.0837653 	0.139005 	27
27 	1106.24 	0.199 	0.199986 	0.0861561 	0.14096 	28
28 	1088.38 	0.108 	0.199987 	0.0894259 	0.143163 	29
29 	1164.39 	0.082 	0.199981 	0.0788435 	0.135147 	30
30 	1095.57 	0.081 	0.199986 	0.0864394 	0.143963 	31
